thetaS,thetaR,psiMedian,sigma,alphaSpecificStorage,betaSpecificStorage,Ks
#1 Sand, 
0.43,0.045,0.45,0.70187,1e-8,4.4e-10,8.25e-05
#2 Loamy sand, 
0.41,0.057,1.21,1.26475,1e-8,4.4e-10,4.0528e-05
#3 Sandy loam,
0.41,0.065,3.16,1.50961,1e-8,4.4e-10,1.2278e-05
#4 Silty loam, 
0.45,0.067,7.29,1.1985,1e-8,4.4e-10,1.25e-06
#5 Loam,
0.43,0.078,6.48,1.537,1e-8,4.4e-10,2.8889e-06
#6 Sandy clay loam, 
0.39,0.1,5.44,1.76,1e-8,4.4e-10,3.6388e-06
#7 Silty clay loam, 
0.43,0.089,10.20,1.59,1e-8,4.4e-10,1.9447e-07
#8 Clay loam,
0.41,0.095,8.77,1.72,1e-8,4.4e-10,7.2224e-07
#9 Sandy clay,
0.38,0.1,10.21,1.99,1e-8,4.4e-10,3.3333e-07
#10 Silty clay,
0.36,0.07,10.91,1.76,1e-8,4.4e-10,5.5556e-08
#11 Clay, Bonan 2018 Tab 8.3
0.38,0.068,13.79,2.04,1e-8,4.4e-10,5.5556e-07